clip_id,video_file,datetime,date,time,year,month,day,latitude,longitude,location_label,emotion_tags,order_index,lab_colors,rgb_colors,mean_lightness,mean_saturation,tags,tag_1,tag_1_score,tag_2,tag_2_score,tag_3,tag_3_score,tag_4,tag_4_score,tag_5,tag_5_score,primary_mood,energy_level,social_context,self_focus,season,time_of_day,location_label_manual,notes,has_embedding,graph_x,graph_y
20250407_173354,D:\QCC\raw_videos\20250407_173354.mp4,2025-04-07T17:33:54,2025-04-07,17:33:54,2025,4,7,41.8544,-87.6303,,,120,"[[20.62722952678675, 131.3685695360358, 128.8801586514094], [113.57909756872475, 134.07493493437605, 136.23579846723683], [152.8327025978993, 132.3839711380943, 135.46711503272076], [70.63037234660952, 133.06135595945514, 130.88767254342963], [195.79207638022655, 127.25580530923992, 121.03105533050348]]","[[27, 22, 23], [120, 101, 92], [156, 141, 131], [74, 62, 62], [180, 190, 201]]",110.69229568404936,185.37110895563367,"Far, Alone, Close, Window, Day",Far,0.2569984793663025,Alone,0.2557428181171417,Close,0.2544407248497009,Window,0.253083735704422,Day,0.2494172751903534,overwhelmed,4.0,alone,2.0,spring,afternoon,boba_shop,"this was when i saw her again after the ghost. we needed to talk about the stalker situation, but i was very scared of seeing her and visiting her space again. I didn't know how I was gonna react or face her after what happened. ",1,-0.19320069,0.16348886
20250408_152144,D:\QCC\raw_videos\20250408_152144.mp4,2025-04-08T15:21:44,2025-04-08,15:21:44,2025,4,8,41.799,-87.5946,,,121,"[[117.34431735819663, 134.49886218091925, 131.790632353348], [181.11020295175882, 131.6765106933361, 123.46788961448254], [146.71817009924652, 134.89641891749855, 161.5508452929547], [78.74909930614105, 139.75753435594424, 154.3913814741533], [28.535594374928863, 134.9698977917365, 132.63315019246522]]","[[121, 105, 104], [175, 172, 183], [165, 132, 80], [99, 65, 31], [39, 26, 24]]",110.4914768180544,195.35221711635995,"Day, Now, Spring, Close, Atmosphere",Day,0.2314177900552749,Now,0.2283526360988617,Spring,0.2231104671955108,Close,0.2199026942253112,Atmosphere,0.2178717851638794,joy,4.0,friends,1.0,spring,afternoon,friends_house,this was an amazing afternoon! we got out of class and then my friend offered some sausages that he got. He got some bread out and some oil with the sausages and we had tea and chatted. I felt spoiled and it was great. I could also tell here that something was happening between the two of my friends.,1,-0.14608899,0.3194883
20250409_214110,D:\QCC\raw_videos\20250409_214110.mp4,2025-04-09T21:41:10,2025-04-09,21:41:10,2025,4,9,41.7845,-87.603,,,122,"[[16.647654526897256, 128.7592378447317, 128.7522107999021], [175.07414537949643, 128.65018766663297, 145.80433917635435], [90.7386529930101, 145.99762175554415, 148.76252941639635], [139.95553288612504, 129.67852206863148, 149.75524214180638], [54.34666970151424, 133.5704382505622, 136.9347943334761]]","[[20, 20, 20], [180, 166, 137], [117, 72, 52], [145, 129, 94], [62, 48, 39]]",95.35253109740862,194.8722488412656,"Self, Past, Bedroom, Close, Day",Self,0.2538099288940429,Past,0.2478542029857635,Bedroom,0.2467063069343567,Close,0.2466868609189987,Day,0.245542898774147,,,,,,,,,1,0.48509344,-0.06505405
20250410_215549,D:\QCC\raw_videos\20250410_215549.mp4,2025-04-10T21:55:49,2025-04-10,21:55:49,2025,4,10,41.7844,-87.6031,,,123,"[[54.14789709269003, 132.72685629032307, 139.24810590496227], [114.65400475277696, 131.58776245778614, 145.14145870624625], [83.6529207133997, 183.27277940687716, 173.37750293114686], [181.5079727611546, 127.5947753083172, 139.72560392942538], [18.55753914244115, 130.95775428271523, 132.7692047325178]]","[[62, 48, 35], [121, 103, 78], [157, 6, 3], [180, 174, 154], [27, 21, 15]]",90.50406689249247,203.25505302791044,"Past, Close, Fun, Far, Night",Past,0.2250736057758331,Close,0.2217326760292053,Fun,0.217241108417511,Far,0.2110325098037719,Night,0.2058255970478058,excited,3.0,friends,2.0,spring,evening,home,the first time i explicitly recorded magic the gathering! I think this was also the first time i showed my friend here about magic the gathering. it was an exciting night.,1,-0.036933437,0.26154253
20250411_200753,D:\QCC\raw_videos\20250411_200753.mp4,2025-04-11T20:07:53,2025-04-11,20:07:53,2025,4,11,41.8848,-87.6517,,,124,"[[100.17970995422309, 144.3214762975904, 142.52111610463993], [7.320164428979332, 131.5831627830637, 128.97560437807135], [156.8372390662243, 112.68012037770768, 107.20256625280551], [196.2204365275744, 107.50287754664373, 106.00287611948873], [44.17613926805305, 141.91964917932643, 138.25884814175015]]","[[124, 82, 70], [16, 8, 10], [81, 157, 184], [107, 203, 229], [64, 35, 29]]",100.94673784901084,178.3442653645782,"Fun, Close, Night, Now, Alone",Fun,0.2544274926185608,Close,0.2350322306156158,Night,0.2312153875827789,Now,0.226197212934494,Alone,0.225700169801712,,,,,,,,,1,-0.14769134,0.15854897
20250413_002946,D:\QCC\raw_videos\20250413_002946.mp4,2025-04-13T00:29:46,2025-04-13,00:29:46,2025,4,13,41.7844,-87.6029,,,125,"[[53.08519633627428, 128.7295537367219, 130.5703800058462], [13.568178100796583, 129.12640845086713, 127.77955702333932], [56.330475926986416, 137.99041487101405, 147.99801638476538], [26.289811788560716, 129.9203373418405, 130.11032014119073], [38.18415905223414, 129.68558663033122, 131.65114221017458]]","[[51, 50, 47], [18, 16, 19], [73, 47, 25], [30, 27, 25], [41, 37, 33]]",37.491564240970426,187.2071265778927,"Night, Winter, Snow, Rain, Atmosphere",Night,0.2714970111846924,Winter,0.2567369937896728,Snow,0.2535160779953003,Rain,0.2532172203063965,Atmosphere,0.2491759955883026,,,,,,,,,1,-0.13077167,-0.08940119
20250413_183620,D:\QCC\raw_videos\20250413_183620.mp4,2025-04-13T18:36:20,2025-04-13,18:36:20,2025,4,13,41.8817,-87.6252,,,126,"[[133.86119285290147, 144.6868420334633, 167.34117014269407], [13.542404335239752, 131.48939940345537, 131.40665743976786], [209.5400664392236, 129.4404752957443, 145.6359598358571], [49.39230053886196, 137.24233658410046, 146.99516753630652], [92.61875929054993, 140.4830362552931, 147.96328990136797]]","[[167, 113, 57], [24, 15, 11], [218, 202, 172], [66, 41, 21], [112, 77, 55]]",99.79094469135534,201.41883753191087,"Fun, Past, Close, Atmosphere, Far",Fun,0.2378473877906799,Past,0.2364692091941833,Close,0.2353654950857162,Atmosphere,0.2303310632705688,Far,0.2282912880182266,,,,,,,,,1,0.00959261,0.24208325
20250414_194541,D:\QCC\raw_videos\20250414_194541.mp4,2025-04-14T19:45:41,2025-04-14,19:45:41,2025,4,14,41.7844,-87.6027,,,127,"[[83.36072755222794, 115.49586108069597, 141.80761110695715], [140.50925054155974, 131.23935915130684, 125.77448001975556], [53.60035291950298, 128.44850180221917, 125.3334883625525], [70.03028981363406, 111.83770525377804, 143.61012739750458], [106.00849943794009, 129.6968825282517, 126.61723264155525]]","[[63, 82, 56], [134, 130, 137], [48, 50, 54], [45, 71, 41], [98, 98, 101]]",90.70182405297297,181.4813748231209,"Spring, Nature, Alone, Fall, Day",Spring,0.252295970916748,Nature,0.2505537569522857,Alone,0.2474238574504852,Fall,0.2458650767803192,Day,0.2364921122789383,,,,,,,,,1,-0.21083833,-0.19998921
20250415_235625,D:\QCC\raw_videos\20250415_235625.mp4,2025-04-15T23:56:25,2025-04-15,23:56:25,2025,4,15,41.7844,-87.6029,,,128,"[[0.0, 128.0, 128.0], [0.0, 128.0, 128.0], [0.0, 128.0, 128.0], [0.0, 128.0, 128.0], [0.0, 128.0, 128.0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]",0.0,181.01933598375612,"Night, Window, Bedroom, Close, Atmosphere",Night,0.2449822276830673,Window,0.243192046880722,Bedroom,0.241386204957962,Close,0.2412651479244232,Atmosphere,0.2391968667507171,,,,,,,,,1,-0.10653879,0.16272718
20250416_220635,D:\QCC\raw_videos\20250416_220635.mp4,2025-04-16T22:06:35,2025-04-16,22:06:35,2025,4,16,41.7881,-87.5952,,,129,"[[108.7798898963786, 142.45021309935552, 153.73792707765077], [21.552468917816775, 133.91280362351463, 127.75619573705157], [232.82339557136373, 119.24584037030138, 154.17109213735634], [101.74889043371019, 132.1217749050747, 114.14905035151338], [61.55701748887678, 138.8726274016503, 134.36920590513623]]","[[133, 90, 59], [30, 22, 25], [231, 233, 179], [88, 92, 116], [74, 51, 48]]",105.2923324616292,191.48279097262292,"Fun, Close, Friends, Past, Far",Fun,0.2514171600341797,Close,0.2388820946216583,Friends,0.2387145757675171,Past,0.2353804558515548,Far,0.2330498397350311,,,,,,,,,1,0.120538056,0.13504335
20250416_222756,D:\QCC\raw_videos\20250416_222756.mp4,2025-04-16T22:27:56,2025-04-16,22:27:56,2025,4,16,41.7881,-87.5952,,,130,"[[55.433102761238246, 140.1971787628401, 118.23749277388403], [124.29639471737255, 138.60256690701527, 150.07789367802926], [16.826737444059447, 137.12561736687314, 113.8993777157724], [235.59024583402777, 121.47476789835488, 141.66551247704092], [84.17433596210888, 149.88952151647052, 159.61111807720542]]","[[62, 46, 67], [144, 108, 79], [21, 16, 40], [229, 236, 207], [118, 63, 28]]",103.26416334376138,194.3042714566412,"Fun, Friends, Close, Far, Atmosphere",Fun,0.2489967942237854,Friends,0.2377713918685913,Close,0.2268358469009399,Far,0.2210037112236023,Atmosphere,0.220163807272911,,,,,,,,,1,0.039960686,0.1990582
